ID RENABAP,Provincia,Municipio,Barrio,Localidad,Tipo de UE,Tipo de Proyecto,Nombre de Proyecto,Financiamiento,Estado,Monto Total,Acta de Inicio Real,% Avance físico
2318,Chaco,Fontana,Barrio Quebracho,Fontana,OSC,POT,Conexiones e instalaciones intra lote de agua y electricidad.,FISU,En ejecución,"$209,590,780.49",6/10/2023,50.06%
3619,Corrientes,Mercedes,Barrio San Pedro,Mercedes,OSC,POT,"Obras de Conexiones e instalaciones intra lote de electricidad y núcleos
húmedos",FISU,En ejecución,"$423,217,701.56",24/5/2023,30.17%
2979,Santa Fe,Santa Fe,Doce de Octubre,Santa Fe,OSC,POT,Equipamiento comunitario y espacio recreativo,FISU,En ejecución,"$180,120,194.90",28/8/2023,60.38%
4399,Córdoba,Santa María,Loteo social 8 de Agosto,Alta Gracia,OSC,POT,Conexiones e instalaciones intra lote de agua y electricidad,FISU,En ejecución,"$56,077,642.27",30/10/2023,32.99%
306,Buenos Aires,General Pueyrredón,Villa Evita,Mar del Plata,OSC,POT,"Obras de conexiones e instalaciones intra lote de agua, cloaca y electricidad",FISU,En ejecución,"$975,107,200.39",14/7/2023,100.00%
2910,Buenos Aires,General Pueyrredón,Las Dalias,Gral Pueyrredón,OSC,POT,"Obras de conexiones e instalaciones intra lote de agua, red peatonal y arbolado público",FISU,En ejecución,"$153,892,142.72",17/11/2023,20.28%
3822,Chaco,9 de julio,Quinta de ruiz,9 de Julio,OSC,POT,"Obras de conexiones e instalaciones intralote eléctricas, red peatonal y arbolado público (Etapa III)",FISU,En ejecución,"$330,570,677.62",6/10/2023,80.83%
715,Buenos Aires,San pedro,La Tosquera,San Pedro,OSC,POT,Obras de Equipamiento Productivo: Nuevo Centro Verde de Reciclado,FISU,En ejecución,"$285,645,400.54",14/3/2023,34.16%
548/1283/1279,Buenos Aires,Quilmes,EL TRIANGULO/VEINTISIETE DE MARZO/MALVINAS,Bernal Oeste,OSC,POT,"Obras de conexiones e instalaciones intra lote de agua, cloaca",FISU,En ejecución,"$79,597,085.32",9/10/2023,10.00%
5418/5416,Jujuy,San Salvador de Jujuy,Belgrano/Puente Otero,San Salvador De Jujuy,OSC,POT,"Obras de conexiones e instalaciones intra lote de
electricidad, red peatonal y espacio recreativo",FISU,En ejecución,"$117,641,725.91",31/7/2023,34.02%
2347,Chaco,Fontana,Balastro II,Fontana,OSC,POT,"Obras de conexiones e instalaciones intra lote de agua, electricidad y Núcleos Húmedos.",FISU,En ejecución,"$436,045,581.05",23/11/2023,64.94%
8,Buenos Aires,La Plata,La Fabrica,Gorina,OSC,POT,Conexiones Intradomiciliarias y red peatonal,FISU,En ejecución,"$139,829,592.94",29/5/2023,62.69%
1228,Buenos Aires,Florencio Varela,San Rudecindo I,Bosques,OSC,POT,"Obras de Red peatonal, arbolado público y equipamiento urbano",FISU,En ejecución,"$97,526,071.58",27/10/2023,20.14%
